UniqueGameId,PlayerNumber,BoardLocation,Spin,Player1Loc,Player2Loc,Player3Loc,Player4Loc,Player5Loc,Player6Loc,SelectedMove,PlayerWonGame
ca0ce12d-07e3-47a3-ae7e-56ea178d831d,4,45,5,32,89,7,11,44,6,11,0
303d3aae-fde5-408a-b4b0-f4931140b7c3,2,45,5,45,11,16,25,30,31,11,0
4b40ac9b-76e9-4404-890f-8de2b331e0d0,2,45,5,45,11,16,25,30,31,11,0
448dcc18-d841-4fcb-ad40-0156e2cf858b,2,45,5,45,11,16,25,30,31,11,0
6394e845-8a5c-455a-baa8-b09ee41d24af,2,45,5,45,11,16,25,30,31,11,0
07758b91-0959-424b-9fc3-28e369599b37,3,45,5,84,25,11,28,86,36,11,0
07758b91-0959-424b-9fc3-28e369599b37,3,45,5,27,26,11,24,26,46,11,0
b622e180-858e-49db-ab61-9585a8424b61,2,45,5,46,11,21,47,42,21,11,0
6002c492-331c-4a0f-a13b-cf33cf2a0cb1,2,45,5,46,11,21,47,42,21,11,0
5da79773-d787-4ef5-ace0-59f0d7f6b855,6,45,5,63,59,67,54,54,50,50,0
b93e80a9-a8c8-4d04-bad6-32542a46757d,1,45,5,50,39,34,34,45,42,50,0
b93e80a9-a8c8-4d04-bad6-32542a46757d,5,45,5,50,45,40,36,50,42,50,0
c1c6977f-6f30-4a08-8541-cbb10f655f8c,1,45,5,50,39,34,34,45,42,50,0
c1c6977f-6f30-4a08-8541-cbb10f655f8c,5,45,5,50,45,40,36,50,42,50,0
87b36be7-8932-43fa-8d34-a4bff6636dd0,1,45,5,50,39,34,34,45,42,50,0
87b36be7-8932-43fa-8d34-a4bff6636dd0,5,45,5,50,45,40,36,50,42,50,0
87b36be7-8932-43fa-8d34-a4bff6636dd0,1,45,5,11,54,95,26,27,54,11,0
c7c54ba6-2e30-4f8d-8aa8-33d2689b83bf,5,45,5,44,47,47,33,50,46,50,0
fd2d8611-f948-4acf-b26b-bf5b0263b231,5,45,5,44,47,47,33,50,46,50,0
067c7309-44bd-40c0-aca5-fd85832c34ce,3,45,5,48,46,50,48,50,39,50,0
7a63a5c0-5620-424d-afa1-e68f2209ca8d,3,45,5,48,46,50,48,50,39,50,0
58a1d810-1317-4b48-9f59-3df64d6864a2,3,45,5,48,46,50,48,50,39,50,0
78f00156-a11f-4a13-9715-00ee210520c5,6,45,5,45,54,47,55,48,50,50,0
